date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home
2023-09-09,Ivory Coast,Lesotho,1,0,African Cup of Nations qualification,San-Pédro,Ivory Coast,False,home_win,1
2023-09-09,DR Congo,Sudan,2,0,African Cup of Nations qualification,Kinshasa,DR Congo,False,home_win,2
2023-09-09,Rwanda,Senegal,1,1,African Cup of Nations qualification,Butare,Rwanda,False,draw,0
2023-09-09,Ukraine,England,1,1,UEFA Euro qualification,Wrocław,Poland,True,draw,0
2023-09-09,Azerbaijan,Belgium,0,1,UEFA Euro qualification,Baku,Azerbaijan,False,away_win,-1
2023-09-09,Estonia,Sweden,0,5,UEFA Euro qualification,Tallinn,Estonia,False,away_win,-5
2023-09-09,Kosovo,Switzerland,2,2,UEFA Euro qualification,Pristina,Kosovo,False,draw,0
2023-09-10,Guatemala,Panama,1,1,CONCACAF Nations League,Guatemala City,Guatemala,False,draw,0
2023-09-10,Martinique,Curaçao,1,0,CONCACAF Nations League,Fort-de-France,Martinique,False,home_win,1
2023-09-10,Hungary,Czech Republic,1,1,Friendly,Budapest,Hungary,False,draw,0
2023-09-10,Togo,Cape Verde,3,2,African Cup of Nations qualification,Lomé,Togo,False,home_win,1
2023-09-10,Republic of Ireland,Netherlands,1,2,UEFA Euro qualification,Dublin,Republic of Ireland,False,away_win,-1
2023-09-10,Thailand,Iraq,2,2,King's Cup,Chiang Mai,Thailand,False,draw,0
2023-09-11,Armenia,Croatia,0,1,UEFA Euro qualification,Yerevan,Armenia,False,away_win,-1
2023-09-11,Iceland,Bosnia and Herzegovina,1,0,UEFA Euro qualification,Reykjavík,Iceland,False,home_win,1
2023-09-11,Portugal,Luxembourg,9,0,UEFA Euro qualification,São João da Venda,Portugal,False,home_win,9
2023-09-12,Jamaica,Haiti,2,2,CONCACAF Nations League,Kingston,Jamaica,False,draw,0
2023-09-12,Bolivia,Argentina,0,3,FIFA World Cup qualification,La Paz,Bolivia,False,away_win,-3
2023-09-12,Ecuador,Uruguay,2,1,FIFA World Cup qualification,Quito,Ecuador,False,home_win,1
2023-09-12,Venezuela,Paraguay,1,0,FIFA World Cup qualification,Maturín,Venezuela,False,home_win,1
2023-09-12,Peru,Brazil,0,1,FIFA World Cup qualification,Lima,Peru,False,away_win,-1
2023-09-12,Chile,Colombia,0,0,FIFA World Cup qualification,Santiago,Chile,False,draw,0
2023-09-12,Azerbaijan,Jordan,2,1,Friendly,Baku,Azerbaijan,False,home_win,1
2023-09-12,Egypt,Tunisia,1,3,Friendly,Cairo,Egypt,False,away_win,-2
2023-09-12,Germany,France,2,1,Friendly,Dortmund,Germany,False,home_win,1
2023-09-12,Qatar,Russia,1,1,Friendly,Al Wakrah,Qatar,False,draw,0
2023-09-12,Ghana,Liberia,3,1,Friendly,Accra,Ghana,False,home_win,2
2023-09-12,Iran,Angola,4,0,Friendly,Tehran,Iran,False,home_win,4
2023-09-12,Japan,Turkey,4,2,Friendly,Genk,Belgium,True,home_win,2
2023-09-12,South Korea,Saudi Arabia,1,0,Friendly,Newcastle,England,True,home_win,1
2023-09-12,Mexico,Uzbekistan,3,3,Friendly,Atlanta,United States,True,draw,0
2023-09-12,Morocco,Burkina Faso,1,0,Friendly,Lens,France,True,home_win,1
2023-09-12,Scotland,England,1,3,Friendly,Glasgow,Scotland,False,away_win,-2
2023-09-12,Senegal,Algeria,0,1,Friendly,Diamniadio,Senegal,False,away_win,-1
2023-09-12,South Africa,DR Congo,1,0,Friendly,Johannesburg,South Africa,False,home_win,1
2023-09-12,United States,Oman,4,0,Friendly,Saint Paul,United States,False,home_win,4
