stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021446,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021446,home,Switzerland,away,Bosnia and Herzegovina,57%,10% in contest,4,1,4,0,2,13,7,6,9,4,29,14,9,6,10,464,147,173,144,109,18,206,136,27,18,1,0,7,3,601,531,24,1,6,7,18,1,0,46,234
FIFA Official Stats,True,41,400021446,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021446,away,Bosnia and Herzegovina,home,Switzerland,34%,10% in contest,1,4,1,0,0,5,3,0,3,2,17,2,2,1,5,205,49,82,74,57,5,155,77,16,6,2,1,17,1,359,289,14,1,3,3,10,0,0,42,339
FIFA Official Stats,True,41,400021450,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021450,home,Canada,away,Qatar,65%,15% in contest,6,0,4,1,1,33,11,10,21,12,20,5,15,11,37,502,158,138,206,150,29,172,148,28,23,1,0,9,1,575,535,61,15,3,19,11,0,0,31,107
FIFA Official Stats,True,41,400021450,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021450,away,Qatar,home,Canada,20%,15% in contest,0,6,0,0,0,2,0,2,1,1,4,1,0,1,4,94,25,41,28,26,3,102,31,17,3,1,2,10,1,166,107,2,1,0,1,10,0,1,23,274
FIFA Official Stats,True,41,400021442,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021442,home,Mexico,away,Korea Republic,40%,9% in contest,1,0,1,0,0,8,4,3,5,3,11,3,7,2,3,456,115,192,149,84,4,173,90,19,4,0,0,9,3,432,360,5,3,1,0,13,0,0,46,265
FIFA Official Stats,True,41,400021442,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021442,away,Korea Republic,home,Mexico,51%,9% in contest,0,1,0,0,0,9,2,4,6,3,16,4,5,3,13,381,79,126,176,73,10,182,92,21,9,2,0,7,6,593,510,8,4,4,2,12,0,0,48,217
FIFA Official Stats,True,41,400021462,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021462,home,USA,away,Australia,55%,15% in contest,2,0,1,0,0,10,2,3,8,2,25,3,7,6,17,347,93,122,132,85,16,186,121,27,17,3,0,12,1,531,465,15,4,5,7,16,0,0,39,167
FIFA Official Stats,True,41,400021462,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021462,away,Australia,home,USA,30%,15% in contest,0,2,0,0,0,5,2,3,3,2,8,3,4,2,22,158,53,67,38,75,10,135,74,18,11,4,0,16,0,308,238,20,4,4,4,13,0,1,40,262
FIFA Official Stats,True,41,400021454,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021454,home,Scotland,away,Morocco,39%,7% in contest,0,1,0,0,0,6,0,4,5,1,11,4,7,7,14,354,67,118,169,72,2,154,102,15,5,1,0,11,1,460,403,13,2,5,2,8,0,0,39,304
FIFA Official Stats,True,41,400021454,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021454,away,Morocco,home,Scotland,54%,7% in contest,1,0,1,0,1,12,2,6,9,3,16,4,4,7,14,460,104,129,227,87,10,164,95,18,8,1,0,8,0,676,612,13,3,3,5,11,0,0,40,260
FIFA Official Stats,True,41,400021457,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021457,home,Brazil,away,Haiti,49%,8% in contest,3,0,3,0,2,7,4,2,6,1,10,9,8,7,10,437,123,193,121,97,14,180,131,23,13,1,0,13,8,551,484,11,3,5,4,18,0,0,39,195
FIFA Official Stats,True,41,400021457,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021457,away,Haiti,home,Brazil,43%,8% in contest,0,3,0,0,0,7,3,3,4,3,20,5,7,4,14,402,110,170,122,75,9,164,104,20,10,3,0,14,4,402,338,13,3,8,4,21,0,0,34,294
FIFA Official Stats,True,41,400021460,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021460,home,Türkiye,away,Paraguay,67%,14% in contest,0,1,0,0,0,32,5,17,17,15,45,13,12,17,32,467,163,156,148,154,17,239,179,27,17,1,0,14,2,666,594,45,9,9,12,18,0,0,41,101
